cleaned_text,Vader,RoBERTa
"overthinking trying justify rationalize irrational not_work donald trump irrational person intelligence irrationality not_mutually exclusive blame mess solely government not_the military sure told air power not_win ran slaughtered 20,00 citizen little chance civilian uprising",-1,-1
voice average american america would different place unfortunately not_even close truth,0,-1
pls let good sense prevail,1,1
sent similar message iran,0,0
pls despatch tanker without ego coming way,1,0
not_trying lay law situation getting downright desperate insisting comply,-1,-1
`` handle iran '',0,0
red_heart red_heart face_with_open_mouth crying_face hv sent message iran bharat facing huge problem oil n gas asking oil since last day n getting packet today one dia oil n one ckg oil want u n iran coordinating flag tanker right away route india not_want road block pls govt shy ask asking know india big country huge population n need greater others navigate thru troubled water pls needful without delay,-1,0
ok not_know history iran islamic thousand year no ww2 video made,0,0
no mor0nic fraud dah,1,-1
'' moment anchor say `` trump said '' remote automatically switch channel life short waste tear eye fiction rolling_on_the_floor_laughing face_with_tears_of_joy ``,-1,-1
external regime change history bad outcome djt might want regime change usual cutting voice america voa destroyed tool actually helped iranian see way increase chance internal regime change blatantly obvious administration would get fat f history,-1,-1
treat china non-player character buy sell bully rest world way go,-1,0
no u world world would peaceful u provocateur chaos war world u terrorist robber troublemaker world .. u not_only terrorist robber international criminal state no human moral,-1,-1
much prove donny ebstein trum clown maga cult need president barak obama statesman know deal iran donny epstein trum idiot not_know deal cult,-1,-1
well u broken ..,-1,-1
country gone war issue something common not_about nuclear weapon russia iran venezuela uae saudi arabia none use petro dollar threat power use currency purchase oil separate supply oil threat country might leave go business not_want competition lose control power money,-1,-1
xi jinping brought together china 's advanced technology create comfortable 15cm secret boot,1,1
not_a game chicken game lining pocket donald winning not_give rip “ america win ” winning make money many others let u wake war finally,1,0
donald trump trump family corrupt world head fish rotten entire body stink america rotting inside billionaire think got u politician supreme court justice ball suffer globally america global leader see rot corrupt motivation u corporation especially military industrial complex policy put place ensure none corporation become big brought justice,1,-1
iran weak brainwashed coconut head,-1,-1
rivalry united state china inevitable likely trump bought xi extremely dangerous united state people taking son part entourage visiting china sent clear signal xi still corruptible,1,-1
-j9w5i exact fact hope not_mind get know,1,0
‘ analysis ’ purely academic real world journalist say follow money/lsnd grab world ’ eye iran,0,0
usa seems like germany 1930s,1,0
trump corrupt iran,0,-1
not_argue religion based disbelief reality not_make deal,0,0
policy trump not_be put together chaos no policy,-1,-1
reagan negotiating iran elected elected large part not_carter iran released hostage immediately elected,0,0
glad gas price skyrocketed economy bad get vote america need learn harsh lesson,-1,-1
moment war finish focus switch back epstein war never end another one come next else would cuba mentioned sometimes prepare public opinion,-1,0
maga base mostly willfully ignorant uneducated never bother even try reason anything come mouth could possibly understand using stay power meantime project mechanism designed operated people backing trump destroying country dismantling democracy ..,-1,-1
4:35 obama ’ deal irgc regarding nuclear program “ successful ” not_think you.s last minute effort prevent irgc acquiring deploying nuclear weapon course fareed like liberal democrat not_admit liberal democrat never admit mistake also reason no democrat administration necessary protect citizen nuclear attack course democrat party trying destroy economy forcing american citizen pay living expense illegal alien many democrat ruled city going bankrupt due,-1,-1
america banana republic tariff importation banana,0,0
funny maga voter not_see south asian pakistani muslim immigrant man see look either north south f border see national leader act like case forgotten,1,-1
willem dafoe chameleon actor accent spot,0,0
drukwerk marianneke blijft ook lekker hitje hè leuke videoclip ook zo liepen al die rolling stone fan er toch ook bij met oh die liepen die tijd met twee verschillende kleuren sokken net al die oom van ex,-1,0
america recognizes spoken genocide muslim weagers muslim china not_the muslim palestinian israel….hmm,0,-1
finally fareed understands decided publicly acknowledge lobbying plain corruption,-1,-1
trump crony made much money middle east excursion insatiable need power money work well bibi…israel afterall america political paymaster,1,0
strongly disagree zakaria 's take trump trump absolutely no redeeming value totally reckless grossly incompetent profoundly dishonest untrustworthy reason power voting public naive even stupid,-1,-1
region world facing gorilla war usa hiding behind brotherly freindly nation type war spoil existing situation not_win war .. announcing fake peace gorilla attack simultaneously,-1,-1
trump iq test u failed twice,-1,-1
america lost trump hastened demise,-1,-1
greatest president u time ..,1,1
actually use determined restrain hegemony,1,0
brilliant video always red_heart,1,1
not_one mention israel 's control america respect `` news host '' avoids obvious steer story another direction,1,0
fareed china 's man u medium applaud everytime u slip china,1,0
…and shocked vulnerable democracy you.s seems no single institution intends stop especially obvious thing,-1,-1
never forget fareed zakaria downplayed gaza holocaust deeply dishonest known plagiarism genocide apologia israel,-1,-1
load bee acting like trump half brain real strategy idiot,-1,-1
good job maga,1,1
good going play mid-terms,1,1
go back mumbai eat much cake ypu want fareak,1,0
tds good psychiatric hospital low cost,1,1
usa middle east fighting,-1,0
baseline truth iran not_the problem core problem mil industrial complex usa ensures wars/ conflict always continue,-1,-1
chinese different dna compared usa russia white skin yellow skin different thinking aspect life chinese people respect leader today compare quality life people usa russia europe common people china live better china not_want westerner teach follow western lifestyle important not_want bullied westerner power long live china,1,0
요즘 공산주의 나라 지도자들도 안하늨 짓을 트럼프가 하고있다 지폐에 본인 얼굴을 새겨넣을라고 하고 국민들의 살림은 점점 어려워지는데 세금으로 쓸데없이 본인 동상이나 세우고 ufc 경기장이나 만들고 파시스트 싸이코 트럼프 마치 로마가 망하기 전의 모습을 보는듯하다 세금을 지멋대로 쓰며 경제와 동맹관계와 나라보안을 망치는 트럼프 넌 동네 자영업 장사를 해도 망해먹을 실력없는놈이다 명분없는 전쟁으로 불안조성하고 기름값 폭등을 일으키고 넌 세상에 아무런 도움은 커녕 해로움만 끼치는 쓰레기다,0,0
great new thank sharing smiling_face_with_heart-eyes,1,1
problem bec unilateral decision attack u israel not_care uno every country think deterrent aggression missile tech drone nuclear bomb iran also going direction little chance iran give either nuclear missile prog know live forever hegemony israel look poor lebanon helplessly witness bombing killing citizen every day israel not_do anything aggression powerful country proved large extent forced weak country look security let u see iran finally decides seems no middle path emerging,-1,-1
`` ill conceived `` war legitimizes invasion free sovereign nation .this adjective not_condemn illegal immoral inhuman invasion abduction elected president killing soldier boatman latin america totally normalised major commentary like genocide gaza palestine lebanon ukraine ..,-1,-1
donald trump would profit 4-weeks-trip china,1,0
u economy financialized compete china industrially militarily economy forgotten make anything money money not_eat money make clothing build shelter keep warm winter real economy u make thing virtually destroyed finance economy,-1,0
fareed plagiarized whole take,0,-1
keep take2 self .. leadership burning money.america no longer endure trump mess ..,-1,-1
stupid suggest negotiate iran government irgc completely ignored iranian people idealogy leftwing dangerous world helping iranian people easy way get peace regain rest world.but leftwing lesson norway stupid long live iranian people,-1,-1
everything american 's interest,1,0
fareed call china 2nd largest economy world implying u still number china 1.2 trillion trade surplus u trade deficit billion china largest trading partner country u largest trading partner country not_make sense,-1,0
holly cr guy turned maga face_with_tears_of_joy rolling_on_the_floor_laughing,0,0
zakaria lame take,-1,-1
you.s iran region policy controlled israel,0,0
fareed finally unlocked,0,1
fareed always tell exactly like gps best show tv,1,1
question presumption arrogance right wing u essentially ruling class u history control party feel entitled enough believe decide government accepts legitimate foreign country not_and insists replacing compliant government lack respect sovereignty country accepted normal rest world american think normal,1,-1
u always understimated existentially threatened adversary would acknowledge assymetry adversary 's favor typically already unleashed dehumanizing propaganda bought,-1,-1
think reuploaded episode heard zakaria saying,0,0
trump respectful tobvhina president family wanted personal business deal china,1,0
smart complete misinterpretation game theory escalation trap better choice u bomb bomb bomb not_topple regime lead unconditional surrender not_the nuclear bombing brought japan heel plus russian invasion manchuria threatened overrun japanese american not_use nuclear weapon ground troop choice meanwhile israel not_want deal trump left zero choice except hot rhetoric no good choice thus stuck,-1,-1
small country minding business called regime big country going around invading killing called govt twisted mentality american country like israel committing genocide called heroic small group fighter fighting defend existence race labeled terrorist .. people evil twisted,-1,-1
joe biden china ’ president xi jinping met several time in-person virtually significant in-person presidential summit,1,0
iran run radical want worldwide bloodshed bring back messiah iran need run western persian simple,1,-1
trump done destroy america u enemy could china knew trump destroyed america 's relationship europe u finished america 's number one strength alliance,-1,-1
trump change idea regarding whether u done deal iran three time day anyone negotiate,0,0
finishing job mean no longer irgc power holding iranian people hostage thousand “ thousand ” iranian people died freedom terrorist regime not_just opening starsit hurmuz,-1,-1
norm need become law said prevent future president grifting personally trump done also trump 's theft need clawed back,0,0
imagine going back tear eye maybe 2013ish informing group individual folk may regard internet personality television character chatroom troll spammer jerry springer guest part government intimate way revoking altering institution may understand depend upon seeping reality television antic standard operating procedure willful ignorance coveted attribute.after palin et al. u534ul 1d10t entirely inevitable getting markedly geriatric individual `` go bang take american zeitgeist '' crafted plan,-1,0
america no longer powerful trump guaranteed also fareed name last war u dominated measured post-war period sine wwii answer 0. britain not_held nazi ’ bay would not_have european base operate,-1,-1
creepy guy grimacing_face,0,-1
fake news cnn,-1,-1
u want iran regime gone remove israel existence easy measy,1,0
oh boy fareed trying not_rock boat new cnn owner,0,-1
trump become symbol biological syndrome,0,-1
dare call iran evil regime .. iran never killed innocent people child woman usa israel number one producing terrorist throughout world,-1,-1
not_understand u savior country enjoys putting people particular country difficulty/poverty/scarcity generation not_like govt/political philosophy country,1,-1
word `` deal '' iran 's regime suicide pact not_going argue fareed think absolutely correct `` deal '' make iran kept secret united state give reputation committing suicide,-1,-1
agree iran 's regime suicidal lock steering wheel game chicken reason not_to play game fareed take mean agree usa never negotiate iran negotiating terrorist playing chicken steering wheel locked,-1,-1
fareed zakaria best red_heart,1,1
no one care,-1,0
regime not_care population citizen country simply put not_have compassion money spent started out.well also show much american israel intelligence not_know really inside.iran 's regime,1,-1
cnn zakaria socialist india zakaria radical islamist aka jihadi ccp democratic party communist,1,0
fareed trump year office made u better connection china not_cite single concrete result,1,0
terror legacy u foreign policy american 's evil design nefarious offence war crime iran old anchor since 1953. washington supreme offender، evil empire evil seen iran venezuela cuba iraq syria afghanistan .. devil footprint every corner world world 's biggest aggressor usa war criminal historian document book,-1,-1
prayer stop war no no war globe_showing_asia-australia loudly_crying_face folded_hands latin_cross folded_hands crying_face globe_showing_asia-australia,-1,-1
million shia follower never forget epstein class genocide criminal,-1,-1
allowed corruption supercede moral traditional consideration nation forced confront entitlement amorilty trump personifies emptiness soulessness empty glamour stupidity willful ignorance country long ago embraced founder constitution right woman brown people slogan quaint old idea enrich wealthy sell pardon corrupt everything respect nothing,-1,-1
short run likely outcome uneasy ceasefire break tear eye tear eye u take softer approach ship move strait push hard iran limit traffic measured way brief period eased tension might take pressure global price oil gas plastic fertilizer creating small opening trust-building maybe renewed nuclear talk still fragile narrow path could collapse deal reached trump administration might say nuclear issue “ separate track ” would no real progress russia stand gain most—and could even throw wrench process oil price high u sanction oil industry paused putin cash keep funding war ukraine benefit keeping u tied embarrassed reliant letting russian oil export flow full tilt nearly every scenario russia likely keep supplying iran drone missiles—a profitable deal kremlin whether trump try strike deal xi risk bigger regional instability settle unstable balance era uncontested u dominance persian gulf come next tangled fragmented balance strait hormuz stay open conditionally posing big risk global economic stability—fallout trump ’ misstep,-1,0
trump absolutely untrustworthy word untethered truth whole world know taco consistent trait,1,-1
trump pete clown iran winning bank account gas price grocery tell every day,1,0
trump mentality barry goldwater,0,0
kind democracy supporting illegal apartheid genocidal state israel look israel lebanon steal land nothing hezbollah hero defending land israel attack invasion year,-1,-1
hypocrite support illegal criminal war middle east venezuela oil control always vote trump least not_democrat psychopath obviously see rather faking,-1,-1
throw grandpa glass fareed would look like larry king face_with_open_mouth,1,0
excellent video thanks speaking truth folded_hands_medium_skin_tone,1,1
fareed drinking koolaid,0,-1
legalised corruption everywhere usa think,0,-1
agree iran view woman minority problem iran check heart_suit,-1,0
washington always want destroy iranian regime restore puppet ruler,-1,-1
iran iran v usa united_states war religious war abraham world not_haveing relation effecting energy cost world no choice face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy ultimately sign abraham accord otherwise war continue like ukraine war year minimum,-1,0
problematic sense right wrong play dumbs feign innocence chinese xinjiang v israel gaza,-1,-1
nope isreal running you.s foreign policy spending blood treasure end bought paid politician medium release epstein file,1,-1
laughing loud fareed say reporting job call non sense blablabla pointofview blind person,1,-1
think trump want respectful china hold rare earth card,1,0
mystery babylon done,0,0
convict `` cooperate '' not_go together ever expects compliance reagan able go soviet union not_only cold warrior solid backing not_only base large cross section american people convict base shrinking daily no one domestically let alone internationally especially done ally trust people learned work around not_with,1,0
hidden history museum historic,0,0
wrong fareek make trump geopolitical mastermind nope trump zero intellectual curiosity not_like trying figure complicated thing demanding deep rigorous analysis musing poring detailed report get morning instinct gut reflex read comic trump also enamored violence hammer comply lizard brain instinctively know sending ground troop iran complicate thing consume rest term no fun like wwf fan love bluster swagger showing adoring rapturous audience trump showman not_some calculating geopolitical strategist world leader like xi putin know play kind megalomanic persona ..,1,-1
"biden 's watch israel ’ military dropped 85,00 tonne bomb gaza strip since october exceeding amount explosive used world war ii environmental quality authority october israel said bombed 40,00 location gaza strip km2 one estimate bomb tonnage dropped gaza 70,00 tonne surpassing combined bomb tonnage dropped dresden hamburg london world war ii satellite imagery showed least building damaged destroyed surpasses scale destruction cologne dresden approach hamburg world war ii 48,00 palestinian reported killed gaza health ministry january analysis lancet concluded official figure significantly under-report mortality estimating 64,260 death traumatic injury june extended october likely exceeding 70,00. total analysis estimated 59.1 woman child elderly researcher estimated civilian death toll least october 2024. completely flattened trump took office",-1,-1
netanyahu begging u go war iran time,-1,0
trump drama destruction end right back jcpoa term war used cause price fluctuation day trading donald son could place big bet ahead trump post x truth social insider trading,-1,-1
one rule follow money anglo iranian oil company revenue share iranian oil export leaving iran e. certainly not_the norwegian model using foreign technology company manage norway 's offshore oil resource extraction statoil,1,0
palentir failed still today garbage peter thiel ran argentina entire gay family u oligarchy nothing freedom privacy done trust tear eye low u government obama started collapse trump suck literally killing america quickly losing support even maga republican not_trust hundred_points,-1,-1
caccacocracy kleptocracy empty drumpf 's pigsty november,-1,-1
not_true biden xi met washington old friend,1,0
coup elected pm mossadegh british cia follows usual colonial exploitation installing shah reza pahlavi lavish wasteful decadent public display elitism simultaneously imposing extremely harsh police state upon iranian people typical destabilize political reality iran course university student religious authority wanted expell american colonial military puppet dictator,-1,-1
grow weary medium coverage keep using term like '' united state government `` american foreign policy '' let u get terminology correct word `` trump '' suffices not_unfairly stain ten million american citizen oppose virtually every one policy foreign domestic stop putting blame u entity like government let u describe soft far authoritarian/ kleptocratic government accurately construction one criminal wretched minion not_us struggle inadequacy government set make concession slaveholder bring state fold compromise made created thing like electoral college unless people decide take arm opposition forced wait election something fact million fearful american old confederacy/idaho managed get outsized representation california get senator dakota get keep real popular majority winning especially riven time million people represented democratic party senator republican one good american freakishly underrepresented day,1,0
paying bill fareed got ask america seems sold independence day sale crying_face,0,0
check balance fiction emperor no clothes nor shame strut buck naked citizen not_care,-1,-1
speak intelligence work emotion,1,0
reference ussr usa error misguided conclusion given exactly opposite nuclear weapon effective propaganda capability,-1,-1
u not_want `` silk road '' route safe route china even russia either country unstable control america 's proxy israel interest east asia even europe middle east peaceful not_in interest america israel,1,-1
agenda give take iran terrorist state whose strategy spread subsidize direct terrorist proxy destroy west leaning society starting israel usa successfully currently lebanon iraq yemen sight africa syria jordan saudi arabia uae name give take would suggest give give give agenda naive observer human nature history cultural collapse,-1,-1
supreme court lsd republican maga,1,0
stage set destroy u economy morale power,-1,-1
trump get along china wanted dictator like china,1,0
uselss mention nothing aipac influence .. cnn clown show,0,-1
least corruption honest,1,0
voted narcissism fascism corruption arrogance,-1,-1
trump 's incompetence massive humiliating loss iran far america,-1,-1
trump 1.0 v trump 2.0 madness,-1,-1
china dumb trust anything coming lying trump,-1,-1
information presented different way traditional medium,0,0
united state israel controlling trying control everything iran fact middle east big difference easily conned moron running washington nut-10-yahoo easily control,1,-1
go face_with_tears_of_joy fareed zakaria obsession china face_with_tears_of_joy face_with_tears_of_joy,-1,0
russell vought satanist plan mark country population 66. like israel marked entire population mark guess turn mad dog foaming mouth,-1,-1
must revoke entire patriot act ruled emergency power since 9/11 end covid emergency power war power end presidential pardon …it fraud fest,-1,-1
fareed plagiarizing game theory,0,-1
"chinese people said became adult realized poisonous nature ccp 's propaganda led social chaos declared withdrawal ccp organization let u look statement lei wei said student joined young pioneer communist youth league ignorant college year secretly copied three half hour video classmate computer realized brainwashed poisoned evil party started working felt society infiltrated chinese communist party culture xi jinping came power people 's livelihood become even difficult black international student living community receive 10,00 yuan month subsidy not_earn 10,00 yuan two month foreign investment withdrawn unemployment spread country people food delivery online ride-hailing unit price plummeting chinese communist party government turned blind eye not_treat people human being vigorously promotes atheism confuses right wrong cause moral decline entire society lack value lack trust people destroys traditional chinese culture decided withdraw ccp ’ team organization draw clear line zhang yunong beijing said ccp evil regime devil violates law heaven disobeys god buddha destroyed heaven solemnly declare withdraw communist youth league young pioneer affiliated organization evil communist party china completely separate welcome new era",-1,-1
"chinese people said became adult realized poisonous nature ccp 's propaganda led social chaos declared withdrawal ccp organization let u look statement lei wei said student joined young pioneer communist youth league ignorant college year secretly copied three half hour video classmate computer realized brainwashed poisoned evil party started working felt society infiltrated chinese communist party culture xi jinping came power people 's livelihood become even difficult black international student living community receive 10,00 yuan month subsidy not_earn 10,00 yuan two month foreign investment withdrawn unemployment spread country people food delivery online ride-hailing unit price plummeting chinese communist party government turned blind eye not_treat people human being vigorously promotes atheism confuses right wrong cause moral decline entire society lack value lack trust people destroys traditional chinese culture decided withdraw ccp ’ team organization draw clear line zhang yunong beijing said ccp evil regime devil violates law heaven disobeys god buddha destroyed heaven solemnly declare withdraw communist youth league young pioneer affiliated organization evil communist party china completely separate welcome new era",-1,-1
chinese people said saw clearly truth ccp 's persecution falun gong declared withdrawal ccp organization let u look statement jindong people said relative practice falun gong witnessed persecuted evil party many year worried help clearly seen evil evil party solemnly declare withdraw evil party organization joined give good start future qiu wensheng shandong said brainwashed believing lie communist party coming contact truth gradually understood right hand people gain freedom security drawing clear line ccp china surely able achieve true democracy future,1,-1
america britain not_overthrown democratic government iran installed shah history might different,0,0
fareed zakaria iranian agent,0,0
fareed wake .. not_usa foreign policy none .. slave zionist israel .. already published greater israel .. evil zionist israel .. iran not_attacked usa tear eye usa israel axis found match usa never learn history,-1,-1
much crap not_believe anybody anymore,-1,-1
missile attack iran regime regime iran attack .. iran banana republic without banana demonsrats leftist obama banana republic without banana biden banana republic without banana obama stumbled plane stair way olso biden stumbled plane stair way many time .. laughing loud rolling_on_the_floor_laughing,-1,0
u israel regime truly father global terrorist funding terrorist around world starting war everywhere face_with_monocle,-1,-1
mr zakaria sound mind think regime slaughter innocent people internationally within recent one unarmed protestors legitimate,1,-1
people like fareed protect nazi like iran graham platner,1,-1
america embarrassment clown world…an insanely dangerous clown,-1,-1
trump ice paramount others need stop everything immediately,-1,0
trump using power president make deal not_for benefit u security enriched family ever notice son-in-law always part whatever negotiation,1,-1
think guy go back casino leave trump best president ever voted worship,1,1
bullshit xinjiang whatever china xinjiang clearly working rooted extremist every country learn china,-1,-1
great analysis might useful 8-10yrs ago respect pissing wind also reminding everyone listening already know no one culpable current state affair medium yet zero mea culpa even whose professional reputation could withstand eg fareed pathetic really crying_face,1,-1
trump set catastrophic failure upcoming fifa game 250th celebration,-1,-1
fareed analysis biden administration .. actually presidential administration since beginning tear eye no better .. tds fareeds problem ..,-1,-1
say something republican become not_it .. midterm spring cleaning start,0,0
founding father never imagined president would crook intent abusing position make money,-1,-1
surprising american voter bush junior trump,1,0
donald trump take bamboo stick as,0,0
weapon iran democrat medium establishment not_for medium american would not_even notice usa striking iran iran not_become nuclear armed democrat want misguided,-1,-1
forth get tail lag accept defeat great best deal,1,0
ok explain orange felon 's self-enrichment official presidential action absolutely nothing running country,1,-1
trump decided divert attention epstein trump existential threat view extreme attention grabbing action lens make sense consider i. epstein israeli plant money come wexner gave money maxwell father israeli agent ii netanyahu putin kind plutonium kompramat trump ii look action ukraine venezuela iran nothing else explains thing consistently tear eye,0,0
anthem america `` not_in mood celebrate '',1,-1
china not_germany ww1 ww2 germany never manfacturing sector term real value least three time bigger u twice power generated time steel production always u antibodics imported china explosive base chemical grid equipment metal germany never strong u v china today like japan vs. u back 1930s except u modern day imperial japan china u 30 back u known manfacutring power still looked upon european power even japan innovation sound familiar uk passed national security law 1800s u stealing ip sanctioned u company u take hard look china see reflection younger year,1,0
israeli genocide gazans fareed nonsensical stance advice democrat irrelevant considering chinese rise not_any dependent u,0,-1
embarrassed u badly china,-1,-1
audacity call country evil fact usa israel evil genocidal belligerent country world indiscriminate killing human being especially woman child baby worst act perpetrator act not_human being treated,-1,-1
world upended trump anyway shall take chance faith go china iran f you.s,1,0
u need regime change,0,0
trouble protect foreign tiny country israel pariah,0,-1
saying `` base '' would follow anywhere wrong symbiosis epstein class living trump money,-1,-1
india american pm netanyahu face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,0,0
guy normalizing lunatic crying_face crying_face crying_face crying_face crying_face,-1,-1
america 's president slave israeil.this war not_amerca 's war.but america new president netanyahu want war face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,-1,0
big fool not_see level terrorism sponsored iranian islamist,-1,-1
audio always bad background hum,-1,-1
`` advanced democracy '' mean corruption highest level america truly category,1,-1
trump simping xi jinping not_on bingo card even tech bros went bend knee new super power,1,0
american politics coming end not_only world also country elect person president low reputation thinking_face,-1,-1
dumb leadership last three gone different approach solve safety world not_only american,1,-1
response people not_supporting trump act third iranian propaganda simple …,-1,-1
america iran country middle east not_a game chicken either unbelievably ignorant getting paid lie mislead audience america foreign policy part world no longer working,-1,-1
white army invasion soviet russia not_a `` small way '' attempting overthrow government,0,-1
biggest question make unites state think right telling forcing another sovereign state governed think year united state behaved like mafia using military threaten bomb invade smaller sovereign state china big powerful enough rival united state give china right tell u perhaps president xi tell american socialist country else… ..,1,-1
sure iran give u billion bring asshole year maybe give back billion,1,0
even though china terrible economy capable second largest world,-1,-1
china beat america tuition free college cheap labor no labor union,1,0
fareed audacity lie straight every audience ’ face xinjiang uyghurs regular monday face_with_tears_of_joy,1,0
guy talk evil donald one minute say `` ya know '' next tired apologist flat liar donald trump single greatest force evil last thousand year fahreed get paid talk side head lying,-1,-1
iran country destroy usa hegemony genocide atrocity gaza around world yankee must punished,-1,-1
iranian regime must go felon way cancerous tumor,-1,-1
good luck curtain power late court throwing every order,1,1
bezos not_say otherwise cuz company attack,-1,-1
ehh… not_that much smaller iran million people landmass large iran technically largest nation america ever attacked,-1,0
9:08 china largest economy world decade gdp not_a good way compare economy,1,0
not_about trump u problem israel last year u sanction end economic havoc caused death minimum million people fact imagine million people .. sanction iraq former u ally caused starving death iraqi .. terrible f .. world go home take care people,-1,-1
last comment made not_taking revenge restoration civil democracy exact reaction led party direct failure democrat party weak constant insistence bring knife gun fight democrat courage arrest chance would not_be mess tear eye pretend longer win playing hand tied behind back need come end failed policy american see exactly powerful president united state republican played long game got good held hand around camp fire singing song following national politics last decade democrat party composed platform lost many plank not_win majority people general midterm may not_be blue wave praying think thing worth taking stand convincing others follow party drop ball matter offered,1,-1
nice job sugar-coating trump 's totally fawning behaviour towards favourite dictator,1,-1
amen fareed reestablish rule law impeach trump,0,0
well said fareed,1,0
bald-faced lie barack obama 's nuclear agreement iran nothing iran moved nuclear program underground could not_be seen satellite inspected obama knew,1,-1
mr. fareed take sound right mind look like iran might get wanted yr .. u eventually recognize iran future cuba .. venezuela govt .. nothing changed sanction lifted ..,1,0
height naivety categorizing trumpś willing uncoerced acceptance humiliation xi great approach trump dealing china like cheering criminal drop stolen good fall pavement flat stomach caught surrounded armed police officer,1,-1
cnn colon cancer disease,-1,-1
release biden tape thumbs_up 'we people '' want know mentally incapacitated joe biden really ..,-1,0
planet russia deabreau mean maleboy forgive,1,-1
cave u oh god,1,-1
rock osama bin laden cave fast food restaurant rock please eat wow,1,1
must least three viable political party usa not_more 5. least,1,0
occasionally take look u ’ perspective iran broadly world see legitimate grievance oh boy naive guy belong garbage wonder people around world start hating america still live empire dream,-1,-1
not_believe besos mind burn grinning_face_with_sweat,0,-1
said true donald trump always kissed president china 's butt presence u speaks loud harsh also expect bezos rich prick not_want union bathroom break co,1,-1
trump upset obama struck good deal america regime change iran 1953. dulles brother overthrew president mozadech iran installed fascist dictator shah looted country 1979. happened nov 4th shooting iranian airliner aug-1988 reagan regime killing innocent iranian territorial water not_help matter much either instead helping true ally taiwan ukraine trumpachenko take order war criminal bibi yahu nuke,-1,-1
obviously phony racket nothing else .. enjoy new sky high gas price sucker,-1,-1
not_a highest office world u rather، day appears beno office stable animal inside leashed not_americans,1,0
raised_hand face_with_bags_under_eyes hamburger french_fries vote trump one last tear eye make hood wood usa hollywood raised_fist,0,0
republican ped0 phile protection agency real life issue ponder like alien dump propoganda catch daily `` exclusive '' fox fake news fairytale,-1,-1
listened corey booker speak issue view willful weakness democrat not_speaking reform outsider,-1,0
love take acuity accuracy china dialog optimistic hopeful regarding corruption main concern country million people susceptible ware con artist working hypothesis related television generation revered much appeared small screen product `` reality '' television fact striving fiction sell america apparently love,1,1
"going put clue together trump always tired staying night 3,700 trade stock market trying steal money wall street early morning not_stay work presidency daytime",-1,-1
american democracy joke long tear eye prefer parliamentary style party get rid head people go rouge,1,-1
problem elected moron paying price,-1,-1
would benefit world iran destroy america nuclear bomb make no sense,-1,-1
leave alone smh man_facepalming_medium-dark_skin_tone,-1,0
guy keep re-publishing fareed 's old video new,0,0
american people something power…,0,0
no need game theory incompetent corrupt cabinet president loss outcome,-1,-1
genocide gaza joe biden stance israel different china,0,0
another useless lame stream corporate oligarchic controlled medium analysis worth zero,-1,-1
